66,HOURLY (DIRT HAUL OFF),0,HOURLY,HOURLY (DIRT HAUL OFF,hourly_context,,,hourly_family,0
67,HOURLY (CONCRETE),0,HOURLY,HOURLY (CONCRETE,hourly_context,,,hourly_family,0
68,MIX,0,MIX,,,,,material,0
69,TYPE 1/5 BASE (CC),0,TYPE 1/5 BASE,TYPE 1/5 BASE (CC,source,,,material,0
70,C. BALLAST,0,C. BALLAST,,,,,material,0
71,AGLIME (STOCKPILE),0,AGLIME,AGLIME (STOCKPILE,source,,,material,0
72,HOURLY (MILL AND FILL),0,HOURLY,HOURLY (MILL AND FILL,hourly_context,,,hourly_family,0
73,GABION 4X6 (BR),0,GABION 4X6,GABION 4X6 (BR,source,,,material,0
74,"3"" MINUS (CC)",0,"3"" MINUS","3"" MINUS (CC",source,,,material,0
75,HOURLY (BUSTED ASPHALT),0,HOURLY,HOURLY (BUSTED ASPHALT,hourly_context,,,hourly_family,0
76,"1/2"" MINUS (ARAB)",0,"1/2"" MINUS","1/2"" MINUS (ARAB",source,,,material,0
77,CHAT,0,CHAT,,,,,material,0
78,"3/4"" CLEAN (ARAB)",0,"3/4"" CLEAN","3/4"" CLEAN (ARAB",source,,,material,0
79,"3/8"" CLEAN (ARAB)",0,"3/8"" CLEAN","3/8"" CLEAN (ARAB",source,,,material,0
80,GABION STONE (WS),0,GABION STONE,GABION STONE (WS,source,,,material,0
81,"1"" BASE (VB)",0,"1"" BASE","1"" BASE (VB",source,,,material,0
82,HAULING BLOW SAND,0,HAULING BLOW SAND,,,,,service_in_name,0
83,"1"" MINUS (WS)",0,"1"" MINUS","1"" MINUS (WS",source,,,material,0
84,TOPSOIL (WS),0,TOPSOIL,TOPSOIL (WS,source,,,material,0
85,SAND,0,SAND,,,,,material,0
86,HOURLY (ASPHALT & ROCK),0,HOURLY,HOURLY (ASPHALT & ROCK,hourly_context,,,hourly_family,0
87,HOURLY (CLEAN UP),0,HOURLY,HOURLY (CLEAN UP,hourly_context,,,hourly_family,0
88,RIP RAP (#90) (WS),0,RIP RAP,RIP RAP (#90,source,(WS,source,material,0
89,HOURLY (COLD MIX/HAUL BACK),0,HOURLY,HOURLY (COLD MIX/HAUL BACK,hourly_context,,,hourly_family,0
90,LANDSCAPE BLEND (BRENDA),0,LANDSCAPE BLEND,LANDSCAPE BLEND (BRENDA,source,,,material,0
91,HOURLY (MILL AND INTERSECTIONS),0,HOURLY,HOURLY (MILL AND INTERSECTIONS,hourly_context,,,hourly_family,0
92,WASH MANUFACTURED (TRAP),0,WASH MANUFACTURED,WASH MANUFACTURED (TRAP,source,,,material,0
93,DIRT (WS),0,DIRT,DIRT (WS,source,,,material,0
