146,"1"" MINUS (SEMO STONE)",0,""
147,TYPE 1/5 BASE (WS),0,""
148,HOURLY (ENTRANCES),0,""
149,ASPAHLT SAND (STATE),0,""
150,ASPAHLT SAND (STATE) (BRENDA KAY),0,""
151,AGLIME (WS) (SPREADING AND HAULING),0,""
152,ASPAHLT,0,""
153,HOURLY (OVER 20 TON),0,""
154,HOURLY (UNDER 18 TON),0,""
155,AGLIME (HEARTLAND) (VBR),0,""
156,AGLIME (SPREADING AND HAULING) (STRAIGHT),0,""
157,"1/2"" MINUS (CAPITAL)",0,""
158,AGLIME (SCAGGS),0,""
159,"1"" WHITE COMM BASE (WS)",0,""
160,"GABION 4-6""",0,""
161,ROCK (BASE ROCK),0,""
162,ROCK (BUTLER),0,""
163,ROCK (STOCKPILE),0,""
164,MORTAR SAND (BRENDAKAY),0,""
165,ASPHALT (DELTA),0,""
166,HOURLY DIRT,0,""
167,PERMITS,0,""
168,400# RIP RAP,0,""
169,"2"" CLEAN (CC)",0,""
170,R400,0,""
171,ASPHALT (BUTLERHILL),0,""
172,R400 (ARAB),0,""
173,"1/2"" CLASS",0,""
174,RIP RAP #400,0,""
175,RIP RAP #400 (SEMO),0,""
176,"6"" MINUS (WS)",0,""
177,MAN SAND (WS),0,""
178,PEA GRAVEL,0,""
179,"1/2"" CLEAN (ARAB)",0,""
180,"1"" MINUS (SHOP)",0,""
181,"1"" SCRAP ROCK (WS)",0,""
182,"1"" MINUS (ARAB)",0,""
183,DIRT (SHOP),0,""
184,"2"" CLEAN (ARAB)",0,""
185,HOURLY (CONCRETE HAUL OFF),0,""
186,BASE ROCK,0,""
187,"1 1/2"" CLASS 7 (CQ)",0,""
188,"1"" MINUS (SEMO)",0,""
189,HAULING ROCK ONLY,0,""
190,SCRAP CONCRETE,0,""
191,MASONARY SAND (DEXTER),0,""
192,TYPE 2 DITCH LINER (ARAB),0,""
193,"6"" CLEAN COM TRAP",0,""
194,"1/2"" MINUS (BASEROCK)",0,""
195,OTHER,0,""
196,HOURLY (SHINGLE GRINDER MOVE),0,""
197,"1"" CLEAN (HEARTLAND)",0,""
198,"1/2"" MINUS COMM BASE (HL)",0,""
199,MATERIAL (WS),0,""
200,MATERIAL (BRENDAKAY),0,""
201,MATERIAL (HEARTLAND),0,""
202,MATERIAL (ARAB),0,""
203,"1"" MINUS (WS & STRACK)",0,""
204,POTASH (DYERSBURG),0,""
205,HOURLY (MILL AND ASPH),0,""
206,"2 1/2"" CLEAN (ARAB)",0,""
207,HOURLY (MILL AND ASPHALT),0,""
208,"1/2"" M (BASEROCK)",0,""
209,"6"" CLEAN COM TRAP (BUTLERHILL)",0,""
210,DIRT (PITS),0,""
211,HOURLY (HAUL OFF),0,""
212,"3"" CLEAN (CC)",0,""
213,LANDSCAPE BLEND,0,""
214,AGLIME (WS) (SANDP),0,""
215,"1 1/2"" CLEAN GRAVEL (WS)",0,""
216,"6"" CLEAN (CQ)",0,""
217,"3/8"" PUGMILL AGGREGATE",0,""
218,"1"" BASE (ARAB)",0,""
219,ASPAHLT (ESS),0,""
220,OVERSIZED WASH GRAVEL (WS),0,""
221,CONCRETE WASTE,0,""
222,"3/8"" CLEAN (CC)",0,""
223,HOURLY (SKIDSTEER),0,""
224,HOURLY (ROCK),0,""
225,"2"" CLEAN BLACK (BUTLER HILL)",0,""
226,HOURLY SKID STEER,0,""
227,HEAVY DIRT,0,""
228,"3"" CLEAN",0,""
229,"3"" MINUS",0,""
230,SAWMILL,0,""
231,1/5 BASE CC,0,""
232,RIP RAP #50 (WS),0,""
233,PEA GRAVEL (BK),0,""
234,CREEK GRAVEL (WS),0,""
235,"1/2"" CLEAN",0,""
236,"1"" CLEAN (SEMO)",0,""
237,EXCAVATOR WORK,0,""
238,RIP RAP #200 (WS),0,""
239,"1/2"" MINUS (CC)",0,""
240,CLAY,0,""
241,D. BALLAST,0,""
242,SAND (DONIPHAN/ICM),0,""
243,90# RIP RAP (CQ),0,""
244,"2 1/2"" BASE (ARAB)",0,""
245,COLD MIX (WS),0,""
246,"2"" MINUS",0,""
247,AGLIME (STRACK),0,""
248,GUMBO,0,""
249,JAW ROCK (ICM),0,""
250,RIPRAP (CC),0,""
251,FILL SAND (BRENDA KAY),0,""
252,"1/2"" BASE (VBS)",0,""
253,"2"" BASE (VBS)",0,""
254,"2"" CLEAN (VBS)",0,""
255,"1"" CLEAN (VBS)",0,""
256,SAND (DEXTER),0,""
257,HUFF DOZING,0,""
258,SCOTT JANES,0,""
259,MIKE SANDERS,0,""
260,LAXTON PAVING,0,""
261,SCOTT ROSS,0,""
262,DARRELL HENSLEY TRUCKING,0,""
263,ANDREWS HAULING,0,""
264,QUAD BROS,0,""
265,HUFF DOZING,0,""
266,EDGE TREATMENT,0,""
267,AG-LIME (HEARTLAND) HAULING & SPREADING,0,""
268,TRIP PERMIT,0,""
269,"6-8"" RIP RAP (GH)",0,""
270,HRLY MILL (END DUMP),0,""
271,HOURLY WORK TIME,0,""
272,CONCRETE SAND (DEXTER),0,""
273,GYPSUM,0,""
274,AG LIME (STRACK-RED),0,""
275,200# RIP RAP,0,""
276,RAP (WP),0,""
277,SHINGLES (PB),0,""
278,SAND (BK),0,""
279,SCREENGINGS (ARAB),0,""
280,"2"" MINUS (CC-VB)",0,""
281,"1"" MINUS (CC-VB)",0,""
282,WASHED SAND (DONIPHAN),0,""
283,TRAP SAND (BUTLER),0,""
284,"1"" C (BACKHAUL)",0,""
285,HOURLY-TENDER TRLR,0,""
286,"2 1/2"" LATERAL (ICM-DNPHN)",0,""
287,"1"" M (BACKHAUL)",0,""
288,BLODGETT,0,""
289,AG LIME (SPREADING ONLY),0,""
290,SAND (BUTLER),0,""
291,HOURLY EDGE TRTMNT,0,""
292,SAND (MALDEN),0,""
293,HAUL BACK,0,""
294,"1"" CLN LNDSCP TRAP (CENTRAL STONE)",0,""
295,RIP RAP (ARAB),0,""
296,"1"" CLN BLK LNDSCAPE (CS)",0,""
297,TYPE 1/5,0,""
298,23015 CHARELSTON,0,""
299,RAP (PB),0,""
300,SHINGLES (ARAB),0,""
301,HRLY ASPH (HEAVY HAUL),0,""
302,ADJUSTMENT-PMT,0,""
303,SHINGLES (PB),0,""
304,RAP (WILLOW),0,""
305,1 1/8 LNDSCP BLND (BK),0,""
306,"1.5"" GRAVEL (BK)",0,""
307,"1"" CLN (ICM-DONIPHAN)",0,""
308,TYPE 1/5 (SEMO),0,""
309,ADJ-ERROR,0,""
310,"2 1/2"" LATERAL (ARAB)",0,""
311,CREDIT CARD FEE,0,""
312,CC FEE (3%),0,""
313,"1/4"" MINUS (CC)",0,""
314,WASTE CONCRETE,0,""
315,"1/2"" CLEAN (DONIPHAN)",0,""
316,TIRE,0,""
317,SCREEINGS (DON),0,""
318,"1/2"" M (DON",0,""
319,HOURLY (CALIBRATE),0,""
320,SAND (WS),0,""
321,HOURLY (ENDDUMP),0,""
322,RED LIME (COLT R & L),0,""
323,MISTAKE ON WRONG RATE FOR INVOICE#17863,0,""
324,DIRT (MATERIAL ONLY),0,""
325,RED LIME (SPREADING ONLY),,""
326,WHITE LIME (SPREADING ONLY),,""
327,SHOT ROCK HALED TO ARAB,,""
328,MOVING LAB TRAILER,,""
329,TRADE (HAY BALES),,""
330,AG LIME (MAT & HAULING),,""
331,AG LIME (SPREADING ONLY),,""
332,"1"" MINUS (WS)",,""
335,"1"" CLEAN (WS)",,""
336,SCREENING (DONIPHAN),,""
337,"3/4""Clean(DON)",,""
338,SCREENINGS (DONIPHAN),,""
339,"3/4"" CLEAN (DONIPHAN)",,""
340,COAL MIX,,""
341,HOURLY (DITCH CHECK),,""
342,ASPHALT 614,,""
343,HOURLY (ROCK/SHOULDERS),,""
344,HOURLY (CLEAN UP PLANT),,""
345,RAP  PB 614,,""
346,HOURLY (BRIDGE WORK),,""
347,AG LIME (HEARTLAND),,""
348,AGLIME (SPREADING ONLY)By The Acre,,""
349,COLT R&L (MAT/HAUL/SPRDNG),,""
350,HOURLY (BACK UP BRIDGE WORK),,""
351,HOURLY (WASTE ROCK),,""
352,"3/8"" PUG ROCK (CANE CREEK)",,""
353,HOURLY (DRIVEWAYS),,""
354,3/8 CHIPS,,""
355,HOURLY (REMOVING ASPHALT),,""
356,23002.2  HWY 51,,""
357,HOURLY (REMOVING ASPHALT),,""
358,FAIRDEALING/SUB-STATION,,""
359,"3/4"" DIRTY BASE (GADS HILL)",,""
360,HOURLY JOB 23002.2 ACCIDENT 1000002,,""
361,HOURLY ASPHALT SIDE ROADS,,""
362,TRAP SAND (IRON MTN),,""
363,SHOP HOURS,,""
364,HOURLY  MILL DRIVEWAYS,,""
365,HOURLY MAN SAND (ICM-WS),,""
366,HOURLY ROCK (ICM-WP),,""
367,TYPE 5 BASE PERRYVILLE,,""
368,HOURLY REJECTED LOAD ,,""
369,HOURLY MAN SAND,,""
370,"1"" BASE COLT",,""
371,TYPE V BASE (ICM-W. Plains),,""
372,TYPE 1 BASE,,""
373,"1"" MINUS (FISHER)",,""
