101,AGLIME (SPREADING AND HAULING),AGLIME,AGLIME (SPREADING AND HAULING,service,,,114
506,Bedding Material (BW),Bedding Material,Bedding Material (BW,source,,,114
363,SHOP HOURS,SHOP HOURS,,,,,113
343,HOURLY (ROCK/SHOULDERS),HOURLY,HOURLY (ROCK/SHOULDERS,hourly_context,,,109
62,AGLIME (WS),AGLIME,AGLIME (WS,source,,,101
395,"1"" MINUS (BLUEWING PB)","1"" MINUS","1"" MINUS (BLUEWING PB",source,,,101
88,RIP RAP (#90) (WS),RIP RAP,RIP RAP (#90,source,(WS,source,99
372,TYPE 1 BASE,TYPE 1 BASE,,,,,98
477,"1/2"" CLEAN (BLUEWING-PB)","1/2"" CLEAN","1/2"" CLEAN (BLUEWING-PB",source,,,97
81,"1"" BASE (VB)","1"" BASE","1"" BASE (VB",source,,,96
505,Rip Rap #200 (BW),Rip Rap #200,Rip Rap #200 (BW,source,,,88
7,"1"" CLEAN (CC)","1"" CLEAN","1"" CLEAN (CC",source,,,87
59,HOURLY (HAUL BACK),HOURLY,HOURLY (HAUL BACK,hourly_context,,,82
107,"1"" WHITE BASE (WS)","1"" WHITE BASE","1"" WHITE BASE (WS",source,,,81
308,TYPE 1/5 (SEMO),TYPE 1/5,TYPE 1/5 (SEMO,source,,,81
452,HOURLY (WORK TIME),HOURLY,HOURLY (WORK TIME,hourly_context,,,81
152,ASPAHLT,ASPAHLT,,,,,73
412,TYPE 5 (BASE ROCK),TYPE 5,TYPE 5 (BASE ROCK,source,,,72
509,AGLIME (JACKSON QUARRY),AGLIME,AGLIME (JACKSON QUARRY,source,,,72
381,"3 3/8""CLEAN  (FARMINGTON)","3 3/8""CLEAN","3 3/8""CLEAN  (FARMINGTON",source,,,71
28,SHINGLES (PEACHSTREET),SHINGLES,SHINGLES (PEACHSTREET,source,,,70
51,HOURLY (RAP),HOURLY,HOURLY (RAP,hourly_context,,,69
423,"1"" BASE (WEST PLAINS)","1"" BASE","1"" BASE (WEST PLAINS",source,,,69
69,TYPE 1/5 BASE (CC),TYPE 1/5 BASE,TYPE 1/5 BASE (CC,source,,,67
491,TYPE 1/5 (COLT),TYPE 1/5,TYPE 1/5 (COLT,source,,,67
416,TYPE 5 (ICM-ARAB),TYPE 5,TYPE 5 (ICM-ARAB,source,,,65
341,HOURLY (DITCH CHECK),HOURLY,HOURLY (DITCH CHECK,hourly_context,,,63
318,"1/2"" M (DON","1/2"" M","1/2"" M (DON",source,,,61
82,HAULING BLOW SAND,HAULING BLOW SAND,,,,,60
456,HOURLY ASPHALT 18-20 Tons,HOURLY ASPHALT 18-20 Tons,,,,,59
422,TYPE 5 BASE (MANSFIELD),TYPE 5 BASE,TYPE 5 BASE (MANSFIELD,source,,,58
104,"3"" CLEAN (WS)","3"" CLEAN","3"" CLEAN (WS",source,,,55
378,TYPE 5 (BASE ROCK FRT.LND.),TYPE 5,TYPE 5 (BASE ROCK FRT.LND.,source,,,55
106,PEA GRAVEL (DEXTER SAND),PEA GRAVEL,PEA GRAVEL (DEXTER SAND,source,,,54
53,HOURLY (MOVING PLANT),HOURLY,HOURLY (MOVING PLANT,hourly_context,,,52
472,"SCREENINGS/TURKEY GRIT (ICM) 1/4"" Minus",SCREENINGS/TURKEY GRIT,SCREENINGS/TURKEY GRIT (ICM,source,,,52
188,"1"" MINUS (SEMO)","1"" MINUS","1"" MINUS (SEMO",source,,,50
436,"2 1/2"" BASE (ICM-DONIPHAN)","2 1/2"" BASE","2 1/2"" BASE (ICM-DONIPHAN",source,,,50
18,ROCK,ROCK,,,,,49
