398,OVERSIZED GRAVEL (DEXTER),,27
85,SAND,0,26
57,FUEL,0,25
290,SAND (BUTLER),0,25
397,HOURLY (SHOULDERS/DRIVEWAYS),,22
276,RAP (WP),0,21
93,DIRT (WS),0,20
430,"1"" BASE (ICM-Houston)",,19
34,"1"" CLEAN (ARAB)",0,19
76,"1/2"" MINUS (ARAB)",0,19
49,GABIAN STONE,0,19
140,PERMIT,0,19
242,SAND (DONIPHAN/ICM),0,19
16,"1"" BASE (CQ)",0,18
310,"2 1/2"" LATERAL (ARAB)",0,18
380,HOURLY (ASPHALT/PLANT DOWN),,18
488,"3/8"" CLEAN (VB Bluewing)",,17
360,HOURLY JOB 23002.2 ACCIDENT 1000002,,17
432,"1"" BASE (TAX EXEMPT) ICM-Arab",,16
109,"1"" MINUS (STOCKPILE)",0,16
496,"2"" CLEAN (BASE ROCK)",,16
434,"2"" CLEAN (BLUEWING PB)",,16
71,AGLIME (STOCKPILE),0,16
21,CONCRETE SAND,0,16
266,EDGE TREATMENT,0,16
392,HOURLY (CLEAN UP/HAUL BACK),,16
279,SCREENGINGS (ARAB),0,16
268,TRIP PERMIT,0,16
2,"1"" MINUS",0,15
29,"1"" MINUS (BASE ROCK)",0,15
231,1/5 BASE CC,0,15
145,"1/5"" BASE (WS)",0,15
470,HOURLY (HAULING SHINGLES),,15
451,"1/2"" CLEAN (ICM-HOUSTON)",,14
492,"AG LIME (MAT, HAUL, SPRD) BaseRock",,13
40,HOURLY (HAULBACK),0,13
122,HOURLY (PLANTMOVE),0,13
366,HOURLY ROCK (ICM-WP),,13
98,"1"" BASE",0,12
431,"2"" MINUS (BLUEWING PB)",,12
74,"3"" MINUS (CC)",0,12
56,AGLIME,0,12
61,AGLIME (HL),0,12
446,CONCRETE SAND (BRENDA KAY),,12
270,HRLY MILL (END DUMP),0,12
182,"1"" MINUS (ARAB)",0,11
252,"1/2"" BASE (VBS)",0,11
387,"3/4"" CLEAN (CC)",,11
222,"3/8"" CLEAN (CC)",0,11
247,AGLIME (STRACK),0,11
211,HOURLY (HAUL OFF),0,11
133,HOURLY (PATCHES),0,11
43,HOURLY (ROCK HAUL),0,11
280,"2"" MINUS (CC-VB)",0,10
330,AG LIME (MAT & HAULING),,10
186,BASE ROCK,0,10
365,HOURLY MAN SAND (ICM-WS),,10
177,MAN SAND (WS),0,10
119,MILLINGS,0,10
233,PEA GRAVEL (BK),0,10
304,RAP (WILLOW),0,10
22,RED LIME,0,10
401,STATE CONCRETE SAND (DEXTER),,10
239,"1/2"" MINUS (CC)",0,9
521,ACCIDENT DOWN TIME,,9
70,C. BALLAST,0,9
205,HOURLY (MILL AND ASPH),0,9
161,ROCK (BASE ROCK),0,9
14,"1"" CLEAN (DEXTER)",0,8
26,"1"" CLEAN (STOCKPILE)",0,8
440,BACK HAUL RAP/MILLING,,8
240,CLAY,0,8
311,CREDIT CARD FEE,0,8
227,HEAVY DIRT,0,8
475,HOURLY (DIRT HAUL),,8
58,HOURLY (DITCH REMOVAL),0,8
60,HOURLY (MILL AND ROCK),0,8
226,HOURLY SKID STEER,0,8
249,JAW ROCK (ICM),0,8
65,RIP RAP (#50),0,8
445,TYPE 1/5 BASE (VB),,8
504,TYPE 2 ROCK BLANKET (BW),,8
215,"1 1/2"" CLEAN GRAVEL (WS)",0,7
236,"1"" CLEAN (SEMO)",0,7
489,ASPHALT (MINERAL AREA),,7
478,HAULING SAND,,7
52,HOURLY (ASPH),0,7
75,HOURLY (BUSTED ASPHALT),0,7
427,HOURLY WORK TIME (PLANT),,7
238,RIP RAP #200 (WS),0,7
278,SAND (BK),0,7
277,SHINGLES (PB),0,7
1,"1"" BASE (WS)",0,6
501,"1"" MINUS (BLUEWING-VB)",,6
9,"1"" MINUS BROWN (ARAB)",0,6
12,"1"" MINUS STOCKPILE",0,6
184,"2"" CLEAN (ARAB)",0,6
399,"2"" MINUS (SEMO)",,6
221,CONCRETE WASTE,0,6
189,HAULING ROCK ONLY,0,6
385,HOURLY (STOCKPILING ROCK),,6
376,HOURLY (TRAILER MOVE),,6
463,LOADING DIRT,,6
167,PERMITS,0,6
317,SCREEINGS (DON),0,6
144,SCREENINGS,0,6
464,"WASHED 1"" OPEN (DEXTER)",,6
180,"1"" MINUS (SHOP)",0,5
194,"1/2"" MINUS (BASEROCK)",0,5
286,"2 1/2"" LATERAL (ICM-DNPHN)",0,5
254,"2"" CLEAN (VBS)",0,5
229,"3"" MINUS",0,5
243,90# RIP RAP (CQ),0,5
348,AGLIME (SPREADING ONLY)By The Acre,,5
30,BUSTED CONCRETE,0,5
210,DIRT (PITS),0,5
471,GABION STONE (BLUEWING),,5
411,GYPSUM (Prairie State),,5
408,HOURLY (COLD MIX),,5
351,HOURLY (WASTE ROCK),,5
499,Hourly(RipRap),,5
178,PEA GRAVEL,0,5
32,RED LIME (SCAGGS),0,5
320,SAND (WS),0,5
511,TOPSOIL (ICM),,5
64,"1"" BASE (SHOP)",0,4
25,"1"" CLEAN",0,4
95,"1/2"" CLEAN (SEMO)",0,4
206,"2 1/2"" CLEAN (ARAB)",0,4
225,"2"" CLEAN BLACK (BUTLER HILL)",0,4
442,"2"" MINUS (STOCKPILE)",,4
424,"3"" CLEAN (BLUEWING)",,4
405,"3"" CLEAN (SEMO)",,4
486,"3"" MINUS (BLUEWING)",,4
78,"3/4"" CLEAN (ARAB)",0,4
155,AGLIME (HEARTLAND) (VBR),0,4
158,AGLIME (SCAGGS),0,4
149,ASPAHLT SAND (STATE),0,4
312,CC FEE (3%),0,4
241,D. BALLAST,0,4
66,HOURLY (DIRT HAUL OFF),0,4
148,HOURLY (ENTRANCES),0,4
99,HOURLY (MAINTENANCE),0,4
