(BRENDA KAY
(SANDP
(STRAIGHT
(VBR
(WS
"1 1/2"" CLASS 7 (CQ"
"1 1/2"" CLEAN GRAVEL (WS"
1 1/8 LNDSCP BLND (BK
"1.5"" GRAVEL (BK"
"1"" BASE (ARAB"
"1"" BASE (CQ"
"1"" BASE (ICM-HOUSTON"
"1"" BASE (SHOP"
"1"" BASE (TAX EXEMPT"
"1"" BASE (VB"
"1"" BASE (WEST PLAINS"
"1"" BASE (WS"
"1"" CLEAN (ARAB"
"1"" CLEAN (BLUEWING PB"
"1"" CLEAN (CC"
"1"" CLEAN (DEXTER"
"1"" CLEAN (HEARTLAND"
"1"" CLEAN (ICM-DONIPHAN"
"1"" CLEAN (SEMO"
"1"" CLEAN (SHOP"
"1"" CLEAN (STOCKPILE"
"1"" CLEAN (WS"
"1"" CLEAN LANDSCAPE BLK (BUTLER HILL"
"1"" CLEAN WASH ROCK (BLUEWING-DON"
"1"" CLN (ICM-DONIPHAN"
"1"" CLN BLK LNDSCAPE (CS"
"1"" CLN LNDSCP TRAP (CENTRAL STONE"
"1"" MINUS (ARAB"
"1"" MINUS (BASE ROCK"
"1"" MINUS (BLUEWING PB"
"1"" MINUS (BLUEWING-VB"
"1"" MINUS (CC"
"1"" MINUS (CC-VB"
"1"" MINUS (FISCHER QUARRY"
"1"" MINUS (GRAY'S POINT"
"1"" MINUS (SEMO"
"1"" MINUS (SEMO STONE"
"1"" MINUS (SHOP"
"1"" MINUS (STOCKPILE"
"1"" MINUS (WS"
"1"" MINUS (WS & STRACK"
"1"" MINUS BROWN (ARAB"
"1"" MINUS GRAY (ARAB"
"1"" SCRAP ROCK (WS"
"1"" WASHED GRAVEL (ICM DONIPHAN"
"1"" WHITE BASE (WS"
"1"" WHITE COMM BASE (WS"
"1/2"" BASE (VBS"
"1/2"" CLEAN (ARAB"
"1/2"" CLEAN (BLUEWING-PB"
"1/2"" CLEAN (DONIPHAN"
"1/2"" CLEAN (ICM-DONIPHAN"
"1/2"" CLEAN (ICM-HOUSTON"
"1/2"" CLEAN (SEMO"
"1/2"" CLEAN (WS"
"1/2"" M (BASEROCK"
"1/2"" M (DON"
"1/2"" MINUS (ARAB"
"1/2"" MINUS (BASEROCK"
"1/2"" MINUS (BLUEWING PB"
"1/2"" MINUS (CAPE QUARRY"
"1/2"" MINUS (CC"
"1/2"" MINUS (ICM-DONIPHAN"
"1/2"" MINUS (WS"
"1/2"" MINUS COMM BASE (HL"
"1/4
1/4"" MINUS (BLUEWING PB"
"1/4"" MINUS (STOCKPILE"
"1/4"" MINUS (WS"
"1/5"" BASE (WS"
"2 1/2"" BASE (ARAB"
"2 1/2"" BASE (ICM-DONIPHAN"
"2 1/2"" CLEAN (ARAB"
"2 1/2"" LATERAL (ARAB"
"2 1/2"" LATERAL (ICM-DNPHN"
"2 2"" MINUS (WS"
"2"" BASE (CAPITAL"
"2"" BASE (VBS"
"2"" CLEAN (ARAB"
"2"" CLEAN (BASE ROCK"
"2"" CLEAN (BLUEWING PB"
"2"" CLEAN (CC"
"2"" CLEAN (VBS"
"2"" CLEAN (WS"
"2"" CLEAN BLACK (BUTLER HILL"
"2"" MINUS (BASE ROCK"
"2"" MINUS (BLUEWING PB"
"2"" MINUS (CC"
"2"" MINUS (CC-VB"
"2"" MINUS (SEMO"
"2"" MINUS (STOCKPILE"
"2"" MINUS (WS"
"3 3/8""CLEAN  (FARMINGTON"
"3"" CLEAN (ARAB"
"3"" CLEAN (BLUEWING"
"3"" CLEAN (CC"
"3"" CLEAN (SEMO"
"3"" CLEAN (WS"
"3"" MINUS (BLUEWING"
"3"" MINUS (CC"
"3"" MINUS (SEMO"
"3"" MINUS (WS"
"3/4"" CLEAN (ARAB"
"3/4"" CLEAN (BLUEWING-PB"
"3/4"" CLEAN (CC"
"3/4"" CLEAN (DONIPHAN"
"3/4"" CLEAN (ICM-DONIPHAN"
"3/4"" DIRTY BASE (GADS HILL"
"3/8"" CLEAN (ARAB"
"3/8"" CLEAN (BLUEWING PB"
"3/8"" CLEAN (CC"
"3/8"" CLEAN (FRUITLAND ASPHALT"
"3/8"" CLEAN (VB BLUEWING"
"3/8"" MINUS (BLUEWING-PB"
"3/8"" PUG ROCK (CANE CREEK"
"43 1/2""X1/4"" (IRON MNT."
"5/8"" TRAP (BUTLER"
50# RIP RAP (WS
"6-8"" RIP RAP (GH"
"6"" CLEAN (CQ"
"6"" CLEAN COM TRAP (BUTLERHILL"
"6"" MINUS (WS"
"8"" BASE ROCK (BW"
"8"" CLN (CAP QUARRIES"
90# RIP RAP (CQ
AG LIME (FISCHER QUARRY
AG LIME (HEARTLAND
AG LIME (STRACK-RED
AG-LIME (HEARTLAND
AGLIME (BASEROCK
AGLIME (HEARTLAND
