LegacyID,LoadCount,LegacyDescription,ProposedBase,Source,Service,ProposedDisplay,Flags
343,109,HOURLY (ROCK/SHOULDERS),ROCK/SHOULDERS,,HOURLY,ROCK/SHOULDERS (HOURLY),
62,101,AGLIME (WS),AGLIME,WS,,AGLIME (WS),
395,101,1" MINUS (BLUEWING PB),1" MINUS,BLUEWING PB,,1" MINUS (BLUEWING PB),
88,99,RIP RAP (#90) (WS),RIP RAP #90,WS,,RIP RAP #90 (WS),
372,98,TYPE 1 BASE,TYPE 1 BASE,,,TYPE 1 BASE,
477,97,1/2" CLEAN (BLUEWING-PB),1/2" CLEAN,BLUEWING-PB,,1/2" CLEAN (BLUEWING-PB),
81,96,1" BASE (VB),1" BASE,VB,,1" BASE (VB),
505,88,Rip Rap #200 (BW),RIP RAP #200,BW,,RIP RAP #200 (BW),
7,87,1" CLEAN (CC),1" CLEAN,CC,,1" CLEAN (CC),
59,82,HOURLY (HAUL BACK),HAUL BACK,,HOURLY,HAUL BACK (HOURLY),
107,81,1" WHITE BASE (WS),1" WHITE BASE,WS,,1" WHITE BASE (WS),
308,81,TYPE 1/5 (SEMO),TYPE 1/5,SEMO,,TYPE 1/5 (SEMO),
452,81,HOURLY (WORK TIME),WORK TIME,,HOURLY,WORK TIME (HOURLY),
152,73,ASPAHLT,ASPHALT,,,ASPHALT,
412,72,TYPE 5 (BASE ROCK),TYPE 5,BASE ROCK,,TYPE 5 (BASE ROCK),
509,72,AGLIME (JACKSON QUARRY),AGLIME,JACKSON QUARRY,,AGLIME (JACKSON QUARRY),
381,71,3 3/8"CLEAN  (FARMINGTON),3 3/8"CLEAN,FARMINGTON,,3 3/8"CLEAN (FARMINGTON),
28,70,SHINGLES (PEACHSTREET),SHINGLES,PEACHSTREET,,SHINGLES (PEACHSTREET),
51,69,HOURLY (RAP),RAP,,HOURLY,RAP (HOURLY),
423,69,1" BASE (WEST PLAINS),1" BASE,WEST PLAINS,,1" BASE (WEST PLAINS),
69,67,TYPE 1/5 BASE (CC),TYPE 1/5 BASE,CC,,TYPE 1/5 BASE (CC),
491,67,TYPE 1/5 (COLT),TYPE 1/5,COLT,,TYPE 1/5 (COLT),
416,65,TYPE 5 (ICM-ARAB),TYPE 5,ICM-ARAB,,TYPE 5 (ICM-ARAB),
341,63,HOURLY (DITCH CHECK),DITCH CHECK,,HOURLY,DITCH CHECK (HOURLY),
318,61,1/2" M (DON,1/2" M,,,1/2" M,
82,60,HAULING BLOW SAND,BLOW SAND,,HAULING,BLOW SAND (HAULING),
456,59,HOURLY ASPHALT 18-20 Tons,ASPHALT,,HOURLY,ASPHALT (HOURLY),
422,58,TYPE 5 BASE (MANSFIELD),TYPE 5 BASE,MANSFIELD,,TYPE 5 BASE (MANSFIELD),
104,55,3" CLEAN (WS),3" CLEAN,WS,,3" CLEAN (WS),
378,55,TYPE 5 (BASE ROCK FRT.LND.),TYPE 5,BASE ROCK FRT.LND.,,TYPE 5 (BASE ROCK FRT.LND.),
106,54,PEA GRAVEL (DEXTER SAND),PEA GRAVEL,DEXTER SAND,,PEA GRAVEL (DEXTER SAND),
53,52,HOURLY (MOVING PLANT),MOVING PLANT,,HOURLY,MOVING PLANT (HOURLY),
472,52,SCREENINGS/TURKEY GRIT (ICM) 1/4" Minus,SCREENINGS/TURKEY GRIT,ICM,,SCREENINGS/TURKEY GRIT (ICM),unhandled_trailing:1/4" Minus
188,50,1" MINUS (SEMO),1" MINUS,SEMO,,1" MINUS (SEMO),
436,50,2 1/2" BASE (ICM-DONIPHAN),2 1/2" BASE,ICM-DONIPHAN,,2 1/2" BASE (ICM-DONIPHAN),
18,49,ROCK,ROCK,,,ROCK,
244,49,2 1/2" BASE (ARAB),2 1/2" BASE,ARAB,,2 1/2" BASE (ARAB),
232,47,RIP RAP #50 (WS),RIP RAP #50,WS,,RIP RAP #50 (WS),
123,46,HOURLY (BUSTED CONCRETE),BUSTED CONCRETE,,HOURLY,BUSTED CONCRETE (HOURLY),
165,45,ASPHALT (DELTA),ASPHALT,DELTA,,ASPHALT (DELTA),
353,43,HOURLY (DRIVEWAYS),DRIVEWAYS,,HOURLY,DRIVEWAYS (HOURLY),
457,43,HOURLY ASPHALT 21-24 Tons,ASPHALT,,HOURLY,ASPHALT (HOURLY),
120,42,HOURLY (SHOULDERS),SHOULDERS,,HOURLY,SHOULDERS (HOURLY),
169,41,2" CLEAN (CC),2" CLEAN,CC,,2" CLEAN (CC),
267,41,AG-LIME (HEARTLAND) HAULING & SPREADING,AG-LIME,HEARTLAND,HAULING AND SPREADING,AG-LIME (HEARTLAND) (HAULING AND SPREADING),
151,40,AGLIME (WS) (SPREADING AND HAULING),AGLIME,WS,HAULING AND SPREADING,AGLIME (WS) (HAULING AND SPREADING),
