SourceTag,TotalLoadCount,ExampleLegacyDescriptions
SEMO CONCRETE,3,WASTE CONCRETE (SEMO CONCRETE)
SAND PIT,3,DIRT (SAND PIT)
WS & STRACK,3,1" MINUS (WS & STRACK)
STRACK-RED,3,AG LIME (STRACK-RED)
MALDEN,3,SAND (MALDEN)
ELLSINORE,3,WOOD CHIPS/MULCH (ELLSINORE)
BUTLERHILL,3,6" CLEAN COM TRAP (BUTLERHILL) | ASPHALT (BUTLERHILL)
SEMO STONE,2,1" MINUS (SEMO STONE)
GH,2,6-8" RIP RAP (GH)
GADS HILL,2,3/4" DIRTY BASE (GADS HILL)
PER KYLE,2,DRIVE TIME (PER KYLE)
DELTA DEXTER,2,ASPHALT (DELTA DEXTER)
ROCK,2,HAULING (ROCK)
CERTAINTEED,1,SAND (CERTAINTEED)
FISCHER,1,TYPE 5 (FISCHER)
BR,1,GABION 4X6 (BR)
TRAP,1,WASH MANUFACTURED (TRAP)
DYERSBURG,1,POTASH (DYERSBURG)
ESS,1,ASPAHLT (ESS)
CENTRAL STONE,1,1" CLN LNDSCP TRAP (CENTRAL STONE)
CS,1,1" CLN BLK LNDSCAPE (CS)
HEAVY HAUL,1,HRLY ASPH (HEAVY HAUL)
HAY BALES,1,TRADE (HAY BALES)
DRTY,1,Pea Gravel (DRTY) DXTR (Material Only)
CLN,1,Pea Gravel (CLN) DXTR SND (Material Only)
GRAY'S POINT,1,1" MINUS (GRAY'S POINT) HAULING ONLY
NAPA,1,HUB OIL (NAPA)
SEMO LAND DESIGNS,1,SLATE LANDSCAPING ROCK (SEMO Land Designs)
BLUEWING-DON,1,1" CLEAN WASH ROCK (BLUEWING-DON)
CAPE QUARRY,1,1/2" MINUS (CAPE QUARRY)
CAP QUARRIES,1,8" CLN (CAP QUARRIES) Material Only
