LegacyID,LegacyDescription,LoadCount,NewBase,NewSource,NewService,ProposedDisplay,Flags
364,HOURLY  MILL DRIVEWAYS,3,MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
368,HOURLY REJECTED LOAD ,3,REJECTED LOAD,,HOURLY,REJECTED LOAD (HOURLY),
369,HOURLY MAN SAND,3,MAN SAND,,HOURLY,MAN SAND (HOURLY),
453,HOURLY (MILLING-SHOULDERS),3,MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
460,HOURLY (SHOULDERS/RAMPS),3,SHOULDERS/RAMPS,,HOURLY,SHOULDERS/RAMPS (HOURLY),
481,HOURLY (SAND) FARMINGTON,3,SAND,FARMINGTON,HOURLY,SAND (FARMINGTON) (HOURLY),
484,HOURLY (SHINGLES) FARMINGTON,3,SHINGLES,FARMINGTON,HOURLY,SHINGLES (FARMINGTON) (HOURLY),
41,HOURLY (1" BASE),2,1" BASE,,HOURLY,1" BASE (HOURLY),
89,HOURLY (COLD MIX/HAUL BACK),2,COLD MIX/HAUL BACK,,HOURLY,COLD MIX/HAUL BACK (HOURLY),
115,HOURLY (MOVING),2,MOVING,,HOURLY,MOVING (HOURLY),
321,HOURLY (ENDDUMP),2,ENDDUMP,,HOURLY,ENDDUMP (HOURLY),
346,HOURLY (BRIDGE WORK),2,BRIDGE WORK,,HOURLY,BRIDGE WORK (HOURLY),
361,HOURLY ASPHALT SIDE ROADS,2,ASPHALT,,HOURLY,ASPHALT (HOURLY),
390,HOURLY (Stockpile),2,STOCKPILE,,HOURLY,STOCKPILE (HOURLY),
391,HOURLY (PLANT CLEAN OUT),2,PLANT CLEAN OUT,,HOURLY,PLANT CLEAN OUT (HOURLY),
435,HOURLY HAULING,2,HAULING,,HOURLY,HAULING (HOURLY),
466,HOURLY (RAMP MATERIAL),2,RAMP MATERIAL,,HOURLY,RAMP MATERIAL (HOURLY),
517,HOURLY (INTERSECTION REPAIR),2,INTERSECTION REPAIR,,HOURLY,INTERSECTION REPAIR (HOURLY),
91,HOURLY (MILL AND INTERSECTIONS),1,MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
113,HOURLY (GABION STONE),1,GABION STONE,,HOURLY,GABION STONE (HOURLY),
121,HOURLY (DRY ROCK),1,DRY ROCK,,HOURLY,DRY ROCK (HOURLY),
153,HOURLY (OVER 20 TON),1,OVER 20 TON,,HOURLY,OVER 20 TON (HOURLY),
154,HOURLY (UNDER 18 TON),1,UNDER 18 TON,,HOURLY,UNDER 18 TON (HOURLY),
196,HOURLY (SHINGLE GRINDER MOVE),1,SHINGLE GRINDER MOVE,,HOURLY,SHINGLE GRINDER MOVE (HOURLY),
224,HOURLY (ROCK),1,ROCK,,HOURLY,ROCK (HOURLY),
301,HRLY ASPH (HEAVY HAUL),1,ASPHALT,HEAVY HAUL,HOURLY,ASPHALT (HEAVY HAUL) (HOURLY),
319,HOURLY (CALIBRATE),1,CALIBRATE,,HOURLY,CALIBRATE (HOURLY),
355,HOURLY (REMOVING ASPHALT),1,REMOVING ASPHALT,,HOURLY,REMOVING ASPHALT (HOURLY),
382,HOURLY (DRIVWAY REPAIR & SHOULDER ROCK,1,(DRIVWAY REPAIR & SHOULDER ROCK,,HOURLY,(DRIVWAY REPAIR & SHOULDER ROCK (HOURLY),
420,HOURLY (MOVING LIME GRAIN BINS TO FLD),1,MOVING LIME GRAIN BINS TO FLD,,HOURLY,MOVING LIME GRAIN BINS TO FLD (HOURLY),
467,HOURLY EXCAVATOR,1,EXCAVATOR,,HOURLY,EXCAVATOR (HOURLY),
483,HOURLY (CURB MIX),1,CURB MIX,,HOURLY,CURB MIX (HOURLY),
493,HOURLY (CAREER DAY),1,CAREER DAY,,HOURLY,CAREER DAY (HOURLY),
495,HOURLY (COAL HAUL),1,COAL HAUL,,HOURLY,COAL HAUL (HOURLY),
519,HOURLY (ASPHALT/CLEAN UP),1,ASPHALT/CLEAN UP,,HOURLY,ASPHALT/CLEAN UP (HOURLY),combo_activity
520,HOURLY (INTERSECTION),1,INTERSECTION,,HOURLY,INTERSECTION (HOURLY),
